trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.8412575810569555}",25,0,-34.40683298635283,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.8399632398976651}",20,0,-54.11566744318837,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.8386672212478585}",20,0,9.990465776920615,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.837369520753774}",20,0,-17.684451502260227,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.8360701340446782}",20,0,-111.99987671735978,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.8347690567327777}",30,0,-149.22402792683857,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
139,False,"{'a': 0.5, 'e': 0.83346628441313}",25,4,-135.57099734160403,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.8321618126635546}",25,0,-172.2923151508053,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
141,False,"{'a': 0.5, 'e': 0.8308556370445422}",25,0,-73.13322524883215,"{0: 17, 1: 4, 2: 1, 3: 3, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.8295477530991647}",30,0,-25.17696055963357,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.8282381563529835}",20,0,-53.28863505869974,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.8269268423139577}",25,0,-51.86019818529191,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.8256138064723522}",25,0,-252.6463681228514,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
146,False,"{'a': 0.5, 'e': 0.8242990443006436}",25,6,-76.97070991494202,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.8229825512534276}",30,0,-179.41317574617221,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
148,False,"{'a': 0.5, 'e': 0.8216643227673239}",20,0,-55.70695801205675,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.820344354260882}",25,0,-25.525018492017566,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.8190226411344851}",20,0,-102.86975353658633,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.8176991787702541}",35,4,-167.5160484402285,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 3}",1
152,False,"{'a': 0.5, 'e': 0.8163739625319508}",20,0,-44.62424120804215,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.8150469877648808}",20,0,-64.73325086097414,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.8137182497957947}",20,0,-136.47954741853005,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.8123877439327898}",25,10,4.602393130436034,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.8110554654652108}",25,0,-126.5126813214764,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.8097214096635494}",20,0,-114.26990610862838,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
